Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.13
2008,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.09
2009,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.29
2010,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.28
2011,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.01
2012,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.28
2013,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.34
2014,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.07
2015,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.06
2016,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.21
2017,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.31
2018,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,,PT,0.28
2007,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2008,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.27
2009,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2010,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.21
2011,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2012,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2013,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2014,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.0
2015,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.34
2016,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.32
2017,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,1.08
2018,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Batken,PT,0.45
2007,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.2
2008,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2009,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2010,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.22
2011,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2012,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.61
2013,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2014,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2015,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2016,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2017,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2018,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Jalal-Abad,PT,0.0
2007,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Issyk-Kul,PT,0.05
2008,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Issyk-Kul,PT,0.34
2009,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Issyk-Kul,PT,0.58
2010,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Issyk-Kul,PT,0.11
2011,Normal value,Units,Country Data,Annual,National,SI_POV_DAY1,Issyk-Kul,PT,0.0
